Abu Dhabi,West Asia,Asia,*
Gippsland Trophy,South Australia,Australia,*
Yarra Valley Classic,South Australia,Australia,*
Grampians Trophy,South Australia,Australia,*
Australian Open,South Australia,Australia,*
Phillip Island Trophy,South Australia,Australia,*
Adelaide,South Australia,Australia,*
Doha,West Asia,Asia,*
Lyon,West Europe,Europe,*
Dubai,West Asia,Asia,*
Guadalajara,Mexico,North America,*
Monterrey,Mexico,North America,*
St. Petersburg,East Europe,Europe,*
Miami,USA,North America,*
Bogota,South America,South America,*
Charleston 1,USA,North America,*
Charleston 2,USA,North America,*
Istanbul,Southeast Europe,Europe,*
Stuttgart,Central Europe,Europe,*
Madrid,Southwest Europe,Europe,*
Rome,South Europe,Europe,*
Belgrade,South Europe,Europe,*
Parma,South Europe,Europe,*
Strasbourg,West Europe,Europe,*
Roland Garros,West Europe,Europe,*
Nottingham,West Europe,Europe,*
Berlin,Central Europe,Europe,*
Birmingham,West Europe,Europe,*
Bad Homburg,Central Europe,Europe,*
Eastbourne,West Europe,Europe,*
Wimbledon,West Europe,Europe,*
Hamburg,Central Europe,Europe,*
Budapest,Central Europe,Europe,*
Lausanne,West Europe,Europe,*
Prague,Central Europe,Europe,*
Gdynia,Central Europe,Europe,*
Palermo,South Europe,Europe,*
Tokyo Olympics,East Asia,Asia,*
Cluj-Napoca 1,South Europe,Europe,*
San Jose,USA,North America,*
Montreal,Canada,North America,*
Cincinnati,USA,North America,*
Chicago 1,USA,North America,*
Cleveland,USA,North America,*
Us Open,USA,North America,*
Luxembourg,West Europe,Europe,*
Portoroz,Central Europe,Europe,*
Ostrava,Central Europe,Europe,*
Chicago 2,USA,North America,*
Nur-Sultan,Central Asia,Asia,*
Indian Wells,USA,North America,*
Moscow,East Europe,Europe,*
Tenerife,SouthWest Europe,Europe,*
Cluj-Napoca 2,South Europe,Europe,*
Courmayeur,South Europe,Europe,*
BJK Cup Finals RR: FRA vs CAN,Central Europe,Europe,*
BJK Cup Finals RR: FRA vs RTF,Central Europe,Europe,*
BJK Cup Finals RR: RTF vs CAN,Central Europe,Europe,*
BJK Cup Finals RR: AUS vs BEL,Central Europe,Europe,*
BJK Cup Finals RR: AUS vs BLR,Central Europe,Europe,*
BJK Cup Finals RR: BLR vs BEL,Central Europe,Europe,*
BJK Cup Finals RR: ESP vs SVK,Central Europe,Europe,*
BJK Cup Finals RR: USA vs ESP,Central Europe,Europe,*
BJK Cup Finals RR: USA vs SVK,Central Europe,Europe,*
BJK Cup Finals RR: CZE vs GER,Central Europe,Europe,*
BJK Cup Finals RR: CZE vs SUI,Central Europe,Europe,*
BJK Cup Finals RR: GER vs SUI,Central Europe,Europe,*
BJK Cup Finals SF: AUS vs SUI,Central Europe,Europe,*
BJK Cup Finals F: RTF vs SUI,Central Europe,Europe,*
BJK Cup Finals SF: RTF vs USA,Central Europe,Europe,*
BJK Cup Playoffs: BRA vs POL,Central Europe,Europe,*
BJK Cup Playoffs: CAN vs SRB,South Europe,Europe,*
BJK Cup Playoffs: GBR vs MEX,West Europe,Europe,*
BJK Cup Playoffs: JPN vs UKR,East Europe,Europe,*
BJK Cup Playoffs: KAZ vs ARG,South America,South America,*
BJK Cup Playoffs: LAT vs IND,North Europe,Europe,*
BJK Cup Playoffs: NED vs CHN,West Europe,Europe,*
BJK Cup Playoffs: ROU vs ITA,South Europe,Europe,*
