AUS,Australia,Australia,*
ARG,South America,South America,*
BEL,West Europe,Europe,*
BLR,East Europe,Europe,*
BRA,South America,South America,*
BUL,Southeast Europe,Europe,*
CAN,North America,North America,*
CHI,South America,South America,*
CHN,East Asia,Asia,*
COL,South America,South America,*
CRO,Southeast Europe,Europe,*
CZE,Central Europe,Europe,*
DEN,North Europe,Europe,*
EGY,North Africa,Africa,*
ESP,Southwest Europe,Europe,*
EST,North Europe,Europe,*
FRA,West Europe,Europe,*
GBR,West Europe,Europe,*
GEO,West Asia,Asia,*
GER,Central Europe,Europe,*
GRE,Southeast Europe,Europe,*
HUN,Central Europe,Europe,*
IND,South Asia,Asia,*
ITA,South Europe,Europe,*
JPN,East Asia,Asia,*
KAZ,Central Asia,Asia,*
LAT,North Europe,Europe,*
LUX,West Europe,Europe,*
MDA,East Europe,Europe,*
MEX,North America,North America,*
MNE,Southeast Europe,Europe,*
NED,West Europe,Europe,*
PHL,Southeast Asia,Asia,*
POL,Central Europe,Europe,*
ROU,East Europe,Europe,*
RUS,East Europe,Europe,*
SLO,Central Europe,Europe,*
SRB,Southeast Europe,Europe,*
SUI,West Europe,Europe,*
SVK,Central Europe,Europe,*
SWE,North Europe,Europe,*
TPE,East Asia,Asia,*
TUN,North Africa,Africa,*
UKR,East Europe,Europe,*
USA,North America,North America,*
